id,value,type
1,Afghanistan,country
2,Aland Islands,country
3,Albania,country
4,Algeria,country
5,American Samoa,country
6,Andorra,country
7,Angola,country
8,Anguilla,country
9,Antigua and Barbuda,country
10,Argentina,country
11,Armenia,country
12,Aruba,country
13,Australia,country
14,Austria,country
15,Azerbaijan,country
16,Bahamas,country
17,Bahrain,country
18,Bangladesh,country
19,Barbados,country
20,Belarus,country
21,Belgium,country
22,Belize,country
23,Benin,country
24,Bermuda,country
25,Bhutan,country
26,Bolivia,country
27,Caribbean Netherlands,country
28,Bosnia and Herzegovina,country
29,Botswana,country
30,Brazil,country
31,British Virgin Islands,country
32,Brunei,country
33,Bulgaria,country
34,Burkina Faso,country
35,Burundi,country
36,Cambodia,country
37,Cameroon,country
38,Canada,country
39,Cape Verde,country
40,Cayman Islands,country
41,Central African Republic,country
42,Chad,country
43,Chile,country
44,China,country
45,Christmas Island,country
46,Cocos Islands,country
47,Colombia,country
48,Comoros,country
49,Cook Islands,country
50,Costa Rica,country
51,Croatia,country
52,Cuba,country
53,Curacao,country
54,Cyprus,country
55,Czech Republic,country
56,Democratic Republic of the Congo,country
57,Denmark,country
58,Djibouti,country
59,Dominica,country
60,Dominican Republic,country
61,East Timor,country
62,Ecuador,country
63,Egypt,country
64,El Salvador,country
65,Equatorial Guinea,country
66,Eritrea,country
67,Estonia,country
68,Ethiopia,country
69,Falkland Islands,country
70,Faroe Islands,country
71,Fiji,country
72,Finland,country
73,France,country
74,French Guiana,country
75,French Polynesia,country
76,French Southern Territories,country
77,Gabon,country
78,Gambia,country
79,Georgia,country
80,Germany,country
81,Ghana,country
82,Gibraltar,country
83,Greece,country
84,Greenland,country
85,Grenada,country
86,Guadeloupe,country
87,Guam,country
88,Guatemala,country
89,Guernsey,country
90,Guinea,country
91,Guinea-Bissau,country
92,Guyana,country
93,Haiti,country
94,Honduras,country
95,Hong Kong,country
96,Hungary,country
97,Iceland,country
98,India,country
99,Indonesia,country
100,Iran,country
101,Iraq,country
102,Ireland,country
103,Isle of Man,country
104,Israel,country
105,Italy,country
106,Ivory Coast,country
107,Jamaica,country
108,Japan,country
109,Jersey,country
110,Jordan,country
111,Kazakhstan,country
112,Kenya,country
113,Kiribati,country
114,Kosovo,country
115,Kuwait,country
116,Kyrgyzstan,country
117,Laos,country
118,Latvia,country
119,Lebanon,country
120,Lesotho,country
121,Liberia,country
122,Libya,country
123,Liechtenstein,country
124,Lithuania,country
125,Luxembourg,country
126,Macao,country
127,Macedonia,country
128,Madagascar,country
129,Malawi,country
130,Malaysia,country
131,Maldives,country
132,Mali,country
133,Malta,country
134,Marshall Islands,country
135,Martinique,country
136,Mauritania,country
137,Mauritius,country
138,Mayotte,country
139,Mexico,country
140,Micronesia,country
141,Moldova,country
142,Monaco,country
143,Mongolia,country
144,Montenegro,country
145,Montserrat,country
146,Morocco,country
147,Mozambique,country
148,Myanmar,country
149,Namibia,country
150,Nauru,country
151,Nepal,country
152,Netherlands,country
153,New Caledonia,country
154,New Zealand,country
155,Nicaragua,country
156,Niger,country
157,Nigeria,country
158,Niue,country
159,Norfolk Island,country
160,North Korea,country
161,Northern Mariana Islands,country
162,Norway,country
163,Oman,country
164,Pakistan,country
165,Palau,country
166,Palestinian Territory,country
167,Panama,country
168,Papua New Guinea,country
169,Paraguay,country
170,Peru,country
171,Philippines,country
172,Pitcairn,country
173,Poland,country
174,Portugal,country
175,Puerto Rico,country
176,Qatar,country
177,Republic of the Congo,country
178,Reunion,country
179,Romania,country
180,Russia,country
181,Rwanda,country
182,Saint Barthelemy,country
183,Saint Helena,country
184,Saint Kitts and Nevis,country
185,Saint Lucia,country
186,Saint Martin,country
187,Saint Pierre and Miquelon,country
188,Saint Vincent and the Grenadines,country
189,Samoa,country
190,San Marino,country
191,Sao Tome and Principe,country
192,Saudi Arabia,country
193,Senegal,country
194,Serbia,country
195,Seychelles,country
196,Sierra Leone,country
197,Singapore,country
198,Sint Maarten,country
199,Slovakia,country
200,Slovenia,country
201,Solomon Islands,country
202,Somalia,country
203,South Africa,country
204,South Georgia and the South Sandwich Islands,country
205,South Korea,country
206,South Sudan,country
207,Spain,country
208,Sri Lanka,country
209,Sudan,country
210,Suriname,country
211,Svalbard and Jan Mayen,country
212,Swaziland,country
213,Sweden,country
214,Switzerland,country
215,Syria,country
216,Taiwan,country
217,Tajikistan,country
218,Tanzania,country
219,Thailand,country
220,Togo,country
